DEC,RA
-14.041874430549568,197.5454606333009
-14.15457927029266,197.26905378758488
-14.295743426690317,196.84238129458907
-14.54555292698969,196.3096686133058
-14.621867037432466,196.1392712745794
-14.992928788230563,195.45831446692037
-15.002518364969903,195.4361441347826
-15.006283310910344,195.42926711671433
-15.401378320292046,194.7330220491362
-15.49761154288019,194.58096891432788
-15.900524422069058,194.02986406785678
-16.060986847853282,193.81324505791375
-16.517838294910703,193.32666665604867
-16.69582666132972,193.12445443128334
-17.3029074219284,192.6234122352025
-17.410133379102376,192.522837289676
-17.818310514196934,192.26634265259077
-18.203751880185443,192.00636247960946
-18.42315700654868,191.92003160481045
-19.090844652562193,191.5888996577489
-19.866189580184145,191.38952295294388
-20.124363821106705,191.32925911114725
-21.258453948228848,191.25971896165245
-21.34077758017448,191.26229356710348
-22.41716986167597,191.4000758110774
-22.882620527194856,191.53543295080252
-23.235459679205828,191.61180922408732
-23.429190844268096,191.70867719744368
-23.887667481646456,191.86754373783833
-24.33623356545287,192.13814999154118
-24.542274062574553,192.23986026983047
-25.14877910217559,192.67416948412705
-25.200047656512936,192.70795999767455
-25.599764265280765,193.04248118022716
-25.862179458578677,193.24250797784148
-25.902348753287836,193.27933568310678
-26.528444615231244,193.87078431178236
-26.60155395965866,193.94724590697126
-27.198121089681358,194.63636861298286
-27.23840944257656,194.68424680969488
-27.47932250623091,195.01825966583252
-27.82987617069861,195.47264910673715
-27.87228715136561,195.5393026736104
-28.38756150254756,196.30045361780805
-28.551807832159025,196.61120220130923
-28.891927812220427,197.1858104263022
-29.234328386662845,197.9639724083712
-29.326870719767893,198.14316498539492
-29.440137381669082,198.44807967965806
-29.742697458656306,199.1238013246603
-29.922889184509422,199.70315929504238
-30.100586033016633,200.16457544808662
-30.226284432196337,200.65308005958926
-30.41440404810518,201.25153038897002
-30.615231366418794,202.24642619121454
-30.657712800419592,202.40944396357605
-30.67463220466655,202.512849728266
-30.883717827411328,203.58857976959894
-30.951979823461564,204.1951603278555
-31.030527300612665,204.8465253437256
-31.08524537243085,205.73373961595567
-31.105733601278477,206.17659798693327
-31.1161158271672,207.16909457458675
-31.10414752297181,207.58454683039207
-31.065155272009534,208.52173333387606
-31.005543948959623,209.09084060581017
-30.938330912267286,209.79804570410013
-30.76766478183954,210.73714569830116
-30.729244410483613,210.9924880865288
-30.623108276654918,211.40900054087658
-30.474732504265948,212.1390628114096
-30.328234888402804,212.59051634376362
-30.15981722520914,213.22348788474508
-29.933679026501146,213.7812559268272
-29.776956812906906,214.23862995075427
-29.456992487115627,214.88737954174115
-29.331054667457927,215.18792217848392
-29.247469773928334,215.33319870275247
-28.847417959533185,216.09463328619955
-28.56715711734242,216.50195151989203
-28.286664189563833,216.92054631207998
-27.8900498758925,217.40215310766885
-27.656808589518093,217.67169334131407
-27.217117660310855,218.115276366406
-26.955410946215896,218.34396864986448
-26.548243574201383,218.68168893827112
-26.16917853230833,218.92233138750402
-25.882870316602677,219.11443420122535
-25.271052864002893,219.3777115502623
-25.22007407168337,219.4047246117089
-25.120692846057448,219.43021117091632
-24.562911642912347,219.66752318168116
-24.26690873726926,219.70994114901907
-23.908408659665167,219.81646871165773
-23.45501766088134,219.8144476475986
-23.25612341568742,219.8504143919592
-23.07157014127727,219.8288547234517
-22.208097643084717,219.76294356214206
-21.580335172520076,219.6128618084788
-21.164678573044235,219.49901253410397
-20.82313622764755,219.32905529495793
-20.24653591750214,219.1050175482627
-19.497966287254496,218.62774141355695
-19.43606910202322,218.59597701168408
-19.24042193692224,218.44190741675774
-18.68258640374819,218.02919050735454
-18.580401940161178,217.92590393036676
-17.991808165321444,217.39562188534055
-17.842965041289567,217.22383002971856
-17.35932384765873,216.69913072217236
-17.222825261200587,216.521601481277
-16.7794625440407,215.9454238674317
-16.69241905197177,215.81925566270306
-16.251647238825257,215.13439780427396
-16.24065662058845,215.1168098504177
-16.199821388675737,215.04043957992602
-15.805507327892759,214.41433255791137
-15.743479377422615,214.30374979269212
-15.407402177981714,213.71180406304288
-15.276367320586852,213.4277762104233
-15.060184872383473,213.00921271551084
-14.864488170984673,212.48930950056968
-14.777972209277516,212.30654758149885
-14.648738128713845,211.8786351509981
-14.522047407082008,211.60384908712078
-14.492295312020794,211.5063517632265
-14.238689864100879,210.90116883232088
-14.143304433757283,210.4983733711703
-14.027818485573599,210.19841356051813
-13.93249642385003,209.65874661650787
-13.873146532766853,209.49560174903283
-13.85949095739208,209.41530679514585
-13.65379296574323,208.79284291660292
-13.598038367801971,208.30802050410918
-13.531785242858696,208.08999354097156
-13.511087840668859,207.77277738894512
-13.405403178651772,207.38714481513114
-13.392312197230853,207.13678198115448
-13.279648363980009,206.6842922958002
-13.275178834468688,206.09880017359154
-13.250015492959523,205.98135852457102
-13.251007806426623,205.89130615860486
-13.133892122776837,205.27849339708814
-13.169612316844416,204.57720092505727
-13.169318736394112,204.57550765916656
-13.16948231771978,204.5736672215744
-13.07832441855845,203.8726199967763
-13.153914319847747,203.18823795276944
-13.151769851594029,203.1696083420781
-13.154380567539635,203.15154210413525
-13.109475614296002,202.4666838673395
-13.219675186326175,201.82128336123
-13.219062713733766,201.76365173695592
-13.234351549360758,201.6891618831649
-13.236014474937484,201.06068806680506
-13.350814335534023,200.56598190225426
-13.3645625121183,200.35765116777168
-13.452897020698792,200.0321298426746
-13.481032401205816,199.65462760144953
-13.556952616017261,199.39672385154364
-13.622596829576212,198.9515931620717
-13.83833106563162,198.31380304396163
-13.853534951951167,198.2485095604595
-13.912704688724087,198.09838002500646
-14.041874430549568,197.5454606333009
