DEC,RA
-18.66957699577381,190.99936875077057
-18.712811140653056,190.5954769188798
-18.747896537017013,190.1915897439379
-18.769762149665794,189.78770899016837
-18.770013326120925,189.38383748855742
-18.747987931884634,188.9799747244631
-18.61464941271427,188.57615274648475
-18.601785696103814,188.54547667481472
-18.399628444334617,188.17811038129395
-18.39518547107628,188.1723584941834
-18.197495079567272,187.876306654986
-18.141723057962757,187.76857082839686
-17.99535449336841,187.54332431228926
-17.83125916532354,187.36479608833423
-17.79324988544941,187.32190197242383
-17.706348080304732,187.3648374079347
-17.591234809739145,187.39781474957073
-17.389226107758933,187.49427430120423
-17.187205545420568,187.55115538260313
-16.985182231661437,187.59883157588447
-16.783152329664443,187.62494771787374
-16.581102054769804,187.58477048728892
-16.37905300849073,187.54858948679004
-16.17700458857653,187.5144610740267
-15.974957008875256,187.48310358309502
-15.772950123821895,187.58513416117555
-15.570966447084139,187.76099961656627
-15.560900247585344,187.76944754765444
-15.36898797479927,187.95069248130272
-15.167014641475948,188.15335306008606
-15.150065254095555,188.1734977107606
-14.9650377394731,188.34175155017945
-14.792126769557163,188.577538055025
-14.763093844553152,188.6262689136909
-14.593854256158524,188.98152767278066
-14.56120037464369,189.05101382151418
-14.397859162595587,189.3855209528553
-14.359313369619606,189.48042778700255
-14.256709726014527,189.7894973607015
-14.157518542239302,190.14464687519302
-14.140680653247655,190.1934669954681
-14.01413860403428,190.597443671288
-13.955745499696226,190.8347324218071
-13.917223107855373,191.00141080390048
-13.833676052062504,191.40537445725766
-13.769664928869927,191.8093314605666
-13.754163610528297,191.95380963376698
-13.716536489895224,192.2132851068746
-13.666127675586344,192.6172388385999
-13.643653199235635,193.02118056762666
-13.62647292633453,193.42512040666037
-13.61672269174539,193.82905712325623
-13.611138848415372,194.23299213917238
-13.607101754650566,194.63692668434527
-13.605482257489255,195.04086025144346
-13.605116430337047,195.444793397008
-13.61148634089368,195.84872305878176
-13.617693688146472,196.25265290718045
-13.629567726907224,196.6565796087845
-13.64209347097425,197.06050591777412
-13.6496903017574,197.46443514163508
-13.655164557673693,197.8683657445447
-13.661236474912785,198.27229612301088
-13.66811218039117,198.6762261344754
-13.680693674588293,199.08015263202148
-13.715003564816161,199.484065047204
-13.754522178580144,199.88797358332926
-13.758327475780785,199.91275874479857
-13.803351264512271,200.291875333252
-13.864005387756404,200.69576829477515
-13.941881709100464,201.09964836346663
-13.961175070058086,201.18398614676275
-14.03454485076456,201.5035167026739
-14.14643795515135,201.90736967187823
-14.163728466618705,201.9642545915223
-14.229713274153916,202.31124131626015
-14.329043761452311,202.71509973667523
-14.36637103586613,202.85258796343751
-14.457087845291841,203.1189349771182
-14.568762940117443,203.36173279681435
-14.633550630122262,203.52273117672715
-14.771181563943243,203.89980902876627
-14.782825863499863,203.92654484239665
-14.973487220021912,204.2737361715798
-14.99905764530432,204.33030347198218
-15.168518172738048,204.7340948135001
-15.175870778427988,204.74918988435567
-15.378191609470226,205.13390811599302
-15.380839212456728,205.1378485106402
-15.580468477531765,205.4560038225104
-15.646698075423089,205.54155438760512
-15.782708471709858,205.7266315470231
-15.971702179886961,205.94520589152972
-15.984922473691022,205.96125547403588
-16.187164177748354,206.23031573512347
-16.292309692233275,206.3488541977642
-16.389393813828427,206.48185995627765
-16.59062288714164,206.75251472375183
-16.59164073582987,206.7537877487817
-16.793852915703003,206.97966091546138
-16.995982671811237,207.10007864219762
-17.107159935400652,207.15598011833413
-17.198111600571337,207.2191261102911
-17.400181481150213,207.26354102841228
-17.602183356918022,207.2222518559316
-17.743637307370054,207.1554269156973
-17.80414264518187,207.12706477753449
-18.006004843401755,206.90812268710488
-18.13111880922118,206.7511922027603
-18.20783490598966,206.64643951505641
-18.36293478840457,206.34709816975715
-18.40951869304043,206.19269596372754
-18.475839425966296,205.94310984236265
-18.546937303456065,205.53915933558548
-18.578351474947155,205.13524366624415
-18.565994067567775,204.73136495521095
-18.5414843224365,204.32749632134772
-18.453584426215635,203.92367808594864
-18.407708414775318,203.74481652869036
-18.342350000114685,203.51987672353457
-18.20531855024628,203.24181986365133
-18.18109596354717,203.11611199416578
-18.09289943989569,202.71228863667463
-18.0026926304441,202.38473653946798
-17.979061860011328,202.3084830141914
-17.81202764689333,201.90471451689172
-17.800317057765874,201.87943764180991
-17.672580114939613,201.50092271248937
-17.597903361618208,201.30677884402402
-17.515058837134976,201.09714110980872
-17.395561525325036,200.83426039443842
-17.344013618801235,200.6933658640996
-17.221393190586074,200.28955379197316
-17.193129782203172,200.21044597996888
-17.104943267557115,199.88573520571182
-17.02654866159285,199.48188906077763
-16.99055060518225,199.32921925105657
-16.935888297859847,199.0780496041381
-16.876205776329517,198.67418857071036
-16.81910768926021,198.2703249545681
-16.793111942584822,197.86644111220545
-16.79932557521322,197.46253739284052
-16.827274600840298,197.05862112733092
-16.897315645214594,196.65468102980486
-16.96583013557444,196.2507436753632
-16.988762425708686,196.17233869259437
-17.091130269666436,195.84677591227546
-17.19042430724393,195.44841398347265
-17.192163981076643,195.44282470881845
-17.350917374721252,195.03884447979942
-17.392195704480656,194.9195276256409
